date,hashtag,frequency
2022-12-29,#centresdappels,8
2022-12-29,#demarchage,8
2022-12-29,#numeros,8
2024-01-17,#beatthecheats,7
2024-01-17,#safebanking,7
2024-01-27,#beatthecheats,8
2024-01-27,#safebanking,8
2024-03-27,#हर,5
2024-07-10,#beatthecheats,1
2024-07-10,#safebanking,1
